,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
105743,NDSN,NORDSON CORPORATION,US,Industrial Machinery,BBB,5.4,3.6,5.4,5.8
105996,NEE,GULF POWER COMPANY,US,Utilities,BB,3.9,6.7,3.9,4.0
105997,NEE,"NEXTERA ENERGY, INC",US,Utilities,AA,7.2,8.1,5.8,4.9
106502,NEM,NEMETSCHEK SE,DE,Software & Services,BBB,5.2,4.7,5.6,3.4
106503,NEM,NEWMONT CORPORATION,US,Metals and Mining - Precious Metals,AA,7.8,3.8,5.6,6.8
107008,NEO,"NEOGENOMICS, INC",US,Health Care Equipment & Supplies,A,7.1,6.1,6.1,6.0
107200,NEOG,NEOGEN CORPORATION,US,Health Care Equipment & Supplies,BB,3.2,5.9,4.0,5.3
107391,NEU,NewMarket Corporation,US,Specialty Chemicals,BB,2.9,3.4,2.0,4.1
107643,NEWR,"NEW RELIC, INC",US,Software & Services,A,6.4,4.0,5.2,4.8
107831,NFG,NATIONAL FUEL GAS COMPANY,US,Utilities,BBB,5.0,3.7,8.9,6.0
108083,NFLX,"NETFLIX, INC",US,Media & Entertainment,BB,2.9,10.0,4.6,2.3
108336,NG,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,GB,Utilities,AAA,8.9,8.4,5.6,7.7
108337,NG,NOVAGOLD RESOURCES INC,CA,Metals and Mining - Precious Metals,A,6.5,2.9,4.8,7.0
108338,NG,WESTERN POWER DISTRIBUTION (EAST MIDLANDS) PLC,GB,Utilities,AA,8.1,8.3,7.5,6.2
108528,NI,NISOURCE INC,US,Utilities,AA,8.4,7.7,7.4,6.4
108781,NJR,NEW JERSEY RESOURCES CORPORATION,US,Utilities,A,6.7,8.9,5.4,4.9
108905,NKE,"NIKE, INC",US,"Textiles, Apparel & Luxury Goods",A,6.2,8.7,3.8,3.8
109158,NKTR,NEKTAR THERAPEUTICS,US,Pharmaceuticals,BBB,4.4,2.2,4.3,3.0
109346,NLOK,NORTONLIFELOCK INC,US,Software & Services,A,7.1,10.0,5.2,5.1
109599,NLSN,NIELSEN HOLDINGS PLC,US,Professional Services,A,6.9,10.0,6.3,5.7
109852,NNN,"NATIONAL RETAIL PROPERTIES, INC",US,Real Estate Management & Services,BB,3.2,3.0,3.3,6.2
110105,NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,US,Aerospace & Defense,AA,8.2,2.8,6.6,6.4
110106,NOC,Northrop Grumman Corporation,US,Aerospace & Defense,AA,8.2,3.2,5.7,6.1
110611,NOV,NOV INC,US,Energy Equipment & Services,A,6.0,7.3,7.8,4.8
110864,NOVA,SUNNOVA ENERGY INTERNATIONAL INC,US,Utilities,AA,8.1,8.7,4.0,7.1
110865,NOVT,NOVANTA INC,US,"Electronic Equipment, Instruments & Components",AA,7.4,3.3,4.9,6.2
111056,NOW,"SERVICENOW, INC",US,Software & Services,AA,8.3,6.2,6.2,5.3
111309,NRG,"NRG ENERGY, INC",US,Utilities,BB,3.3,3.8,4.8,4.7
111562,NRZ,NEW RESIDENTIAL INVESTMENT CORP,US,Asset Management & Custody Banks,B,1.5,6.7,2.7,4.2
111623,NSC,NORFOLK SOUTHERN CORPORATION,US,Road & Rail Transport,A,6.4,5.7,4.2,5.4
